Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
Main521,Full Survey,1105930:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,No,,,,,,,,,,,,,,,,,,
Main522,Full Survey,1105929:44:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main523,Full Survey,1105930:39:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Getting enough food",York,No,,,,,,,,,,,,,,,,,,
Main524,Full Survey,1105930:41:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression)",York,No,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main525,Full Survey,1105930:46:00,"FINDING HOUSING;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main526,Full Survey,1105930:59:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",Cumberland,No,,,,,,,,,,,,,,,,,,
Main527,Full Survey,1105930:57:00,Lack of in home support,Cumberland,Yes,No,,65 - 75,White;,Moderately Connected,No,,,,,,,,,,,,
Main528,Full Survey,1105931:05:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Finding affordable healthcare",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
Main529,Full Survey,1105931:15:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Behavioral health challenges (like substance use or addiction)",Cumberland,No,,,,,,,,,,,,,,,,,,
Main530,Full Survey,1105931:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Lack of stable jobs with career growth",Cumberland,No,,,,,,,,,,,,,,,,,,
Main531,Full Survey,1105931:32:00,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Feeling isolated or not connected to community",York,Yes,No,,45 - 64,White;,Closely Connected,No,,,,,,,,,,,,
Main532,Full Survey,1105931:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community;Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main533,Full Survey,1105931:35:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Jobs with low pay or no benefits;Finding affordable healthcare",Cumberland,Yes,Maybe,Greater Portland,45 - 64,White;,Not Connected,,,,,,,,,,,,,
Main534,Full Survey,1105931:52:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main535,Full Survey,1105931:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,No,,25 - 44,White;,Not Connected,No,,,,,,,,,,,,
Main536,Full Survey,1105932:03:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main537,Full Survey,1105932:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Child care that is affordable and available;Behavioral health challenges (like substance use or addiction)",Cumberland,No,Maybe,Struggling working class that gets up and puts in the effort every day  Working to make change and still unable to fully provide,25 - 44,White;,Not Connected,Yes,Volunteering my time or skills in local programs;Joining a group that solves community issues;Not sure yet - I am open to ideas;,,,,,,,,,,,
Main538,Full Survey,1105932:25:00,"Jobs with low pay or no benefits;Child care that is affordable and available;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes)",York,Yes,No,,25 - 44,White;,Moderately Connected,Yes,Not sure yet - I am open to ideas;,,,,,,,,,,,
Main539,Full Survey,1105931:57:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Jobs with low pay or no benefits",York,No,Yes,Sanford Portland,45 - 64,White;,Not Connected,Yes,Joining a group that solves community issues;Sharing my story or experiences to help others understand;Not sure yet - I am open to ideas,,,,,,,,,,,
Main540,Full Survey,1105932:47:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression)",Cumberland,No,,,,,,,,,,,,,,,,,,
Main541,Full Survey,1105933:01:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Feeling isolated or not connected to community;Behavioral health challenges (like substance use or addiction)",Other Maine County,No,No,,25 - 44,Black or African American;,Not Connected,No,,,,,,,,,,,,
Main542,Full Survey,1105933:38:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Jobs with low pay or no benefits",York,No,,,,,,,,,,,,,,,,,,
Main543,Full Survey,1105933:48:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main544,Full Survey,1105934:41:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Child care that is affordable and available",Cumberland & York,Yes,Yes,My clients are often new Mainers and families in poverty,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main545,Full Survey,1105935:35:00,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,No,,,,,,,,,,,,,,,,,,
Main546,Full Survey,1105935:49:00,Jobs with low pay or no benefits;Caring for aging parents or relatives;Finding affordable healthcare,Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main547,Full Survey,1105936:27:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Domestic violence and associated challenges: safety, stability, financial independence",Cumberland & York,Yes,No,,25 - 44,White;,Closely Connected,No,,,,,,,,,,,,
Main548,Full Survey,1105943:01:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Feeling isolated or not connected to community",Cumberland,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main549,Full Survey,1105959:47:00,"Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,No,,25 - 44,White;,Moderately Connected,No,,,,,,,,,,,,
Main550,Full Survey,1105961:08:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits;Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community",Cumberland,Yes,No,,25 - 44,White;,Not Connected,No,,,,,,,,,,,,
Main551,Full Survey,1105979:42:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Caring for aging parents or relatives",York,No,,,,,,,,,,,,,,,,,,
Main552,Full Survey,1105982:07:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies)",Other Maine County,Yes,,,,,,,,,,,,,,,,,,
Main553,Full Survey,1105982:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Feeling isolated or not connected to community",Cumberland & York,Yes,Yes,As a younger person there is little attention placed on making southern Maine a sustainable place to create a life or raise a family Buying a home is virtually impossible cost of living is increasing and other barriers are driving younger folks out,25 - 44,White;,Not Connected,No,,,,,,,,,,,,
Main554,Full Survey,1106000:42:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation)",Other Maine County,No,,,,,,,,,,,,,,,,,,
Main555,Full Survey,1106001:18:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Other Maine County,No,,,,,,,,,,,,,,,,,,
Main556,Full Survey,1106001:32:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main557,Full Survey,1106001:32:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,No,No,,45 - 64,Hispanic,Not Connected,Yes,Volunteering my time or skills in local programs;,,,,,,,,,,,
Main558,Full Survey,1106001:35:00,"Jobs with low pay or no benefits;Child care that is affordable and available;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",Cumberland,No,,,,,,,,,,,,,,,,,,
Main559,Full Survey,1106001:29:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation)",York,Yes,Maybe,Not specific to any town but more broadly individuals with no children not in recovery residences and who are under 60yrs old,25 - 44,Asian;,Not Connected,No,,,,,,,,,,,,
Main560,Full Survey,1106001:39:00,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",York,No,,,,,,,,,,,,,,,,,,
Main561,Full Survey,1106001:47:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main562,Full Survey,1106001:59:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction)",Cumberland & York,Yes,No,,25 - 44,White;,Not Connected,No,,,,,,,,,,,,
Main563,Full Survey,1106002:03:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression)",York,Yes,Maybe,southern maine wells area,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main564,Full Survey,1106002:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main565,Full Survey,1106002:50:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,Yes,Town of Gorham,45 - 64,White;,Moderately Connected,No,,,,,,,,,,,,
Main566,Full Survey,1106004:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,No,,25 - 44,White;,Moderately Connected,No,,,,,,,,,,,,
Main567,Full Survey,1106004:28:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;Feeling isolated or not connected to community",Cumberland,Yes,Maybe,LGBTQ+,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main568,Full Survey,1106005:03:00,"Getting to work, school, or appointments (transportation);Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Language skills",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main569,Full Survey,1106006:54:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",York,No,,,,,,,,,,,,,,,,,,
Main570,Full Survey,1106010:27:00,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression)",York,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main571,Full Survey,1106014:06:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main572,Full Survey,1106023:58:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation)",York,No,,,,,,,,,,,,,,,,,,
Main573,Full Survey,1106025:22:00,"Child care that is affordable and available;Getting to work, school, or appointments (transportation);Getting enough food;Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,Maybe,I am an African American individual living in Portland and working in Westbrook While I work with many Black and BIPOC individuals I know very very few specifically African American individuals descendants of enslaved people in Maine at all let alone in Portland and Westbrook I am able to uniquely advocate and form community with African immigrants but there is really no one in my neighborhood or even at my job with my ethnicity,25 - 44,Black or African American;,Closely Connected,Yes,Not sure yet - I am open to ideas;,,,,,,,,,,,
Main574,Full Survey,1106027:29:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main575,Full Survey,1106027:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main576,Full Survey,1106029:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives;Feeling isolated or not connected to community",York,No,Yes,The Town of Berwick Its my belief that the older residents of Berwick are being ignored or not listened to They need town services a community center and a town that cares about its residents as well as house lots,65 - 75,White;,Not Connected,Yes,Not sure yet - I am open to ideas;,,,,,,,,,,,
Main577,Full Survey,1106029:54:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",York,Yes,Yes,LGBT community,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main578,Full Survey,1106030:13:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression);Child care that is affordable and available",York,Yes,No,,45 - 64,White;,Closely Connected,,,,,,,,,,,,,
Main579,Full Survey,1106030:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation)",York,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main580,Full Survey,1106030:59:00,"Paying for housing (rent, utilities, mortgage, taxes);Lack of stable jobs with career growth;Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main581,Full Survey,1106031:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting to work, school, or appointments (transportation);Finding affordable healthcare;Caring for aging parents or relatives",York,Yes,Maybe,I am unfamiliar with UWSM so dont know if my community is connected or not I confess that I am not that active in my community I volunteer at elections and attend the school budget voting meeting but thats about it,65 - 75,White;,Not Connected,No,,,,,,,,,,,,
Main582,Full Survey,1106031:09:00,"Paying for housing (rent, utilities, mortgage, taxes);Feeling isolated or not connected to community",Cumberland,No,No,,25 - 44,Black or African American;,Moderately Connected,Yes,Joining a group that solves community issues;Helping connect people to services or resources;,,,,,,,,,,,
Main583,Full Survey,1106031:12:00,"Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",Cumberland,Yes,No,,25 - 44,White;,Closely Connected,Yes,Volunteering my time or skills in local programs;Speaking up or helping spread the word about important issues;Joining a group that solves community issues;Sharing my story or experiences to help others understand;,,,,,,,,,,,
Main584,Full Survey,1106032:56:00,"Getting to work, school, or appointments (transportation);Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
Main585,Full Survey,1106034:39:00,"Finding affordable healthcare;Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available",York,Yes,,,,,,,,,,,,,,,,,,
Main586,Full Survey,1106046:39:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",Cumberland,Yes,Maybe,South Portland  Portland,65 - 75,White;,Not Connected,No,,,,,,,,,,,,
Main587,Full Survey,1106047:02:00,None,York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
Main588,Full Survey,1106048:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community",Cumberland,Yes,No,,65 - 75,White;,Not Connected,No,,,,,,,,,,,,
Main589,Full Survey,1106049:04:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression)",Cumberland & York,No,,,,,,,,,,,,,,,,,,
Main590,Full Survey,1106049:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main591,Full Survey,1106050:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main592,Full Survey,1106050:57:00,"Caring for aging parents or relatives;Lack of stable jobs with career growth;Mental health challenges (like anxiety, depression);Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,No,,25 - 44,White;,Closely Connected,No,,,,,,,,,,,,
Main593,Full Survey,1106053:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,No,Yes,Portland  Early Childhood Education,45 - 64,White;,Moderately Connected,No,,,,,,,,,,,,
Main594,Full Survey,1106057:57:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes)",York,Yes,,,,,,,,,,,,,,,,,,
Main595,Full Survey,1106073:05:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main596,Full Survey,1106073:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Finding affordable healthcare",Cumberland,Yes,No,,25 - 44,White;,Closely Connected,No,,,,,,,,,,,,
Main597,Full Survey,1106073:57:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Impact of flooding and other extreme weather;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies)",York,No,Maybe,Lebanon,More than 75,White;,Not Connected,No,,,,,,,,,,,,
Main598,Full Survey,1106075:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Getting to work, school, or appointments (transportation)",York,Yes,No,,45 - 64,White;,Not Connected,Yes,Volunteering my time or skills in local programs;Joining a group that solves community issues;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
Main599,Full Survey,1106075:37:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits",Cumberland,No,Maybe,Cumberland,More than 75,White;,Not Connected,Yes,"I am already volunteering in the town, and at other food insecurity places in greater Portland. Still not easy to meet people for connections outside the volunteering",,,,,,,,,,,
Main600,Full Survey,1106076:48:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main601,Full Survey,1106080:17:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Feeling isolated or not connected to community;Mental health challenges (like anxiety, depression)",York,Yes,,,,,,,,,,,,,,,,,,
Main602,Full Survey,1106089:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main603,Full Survey,1106100:10:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",York,Yes,Yes,As a trans and queer person I feel a high level of fear for my community and see the ways that trans peoples safety and wellbeing continues to be dismissed and put at risk This significantly affects folks ability to access necessary healthcare support and housing services that feel safe and affirming,25 - 44,Asian;,Closely Connected,,,,,,,,,,,,,
Main604,Full Survey,1106101:31:00,Child care that is affordable and available;Availability of housing,Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main605,Full Survey,1106101:31:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,No,Yes,York County we definitely have some good resources collaboration dont have a place for all of your county to come and work with peers Get connected with resources More collaboration are so many different resources and a better way to have resources in one place for the whole Community to be able to go and receive support resources connection regardless of their situation,45 - 64,White;,Not Connected,Yes,Volunteering my time or skills in local programs;Joining a group that solves community issues;Speaking up or helping spread the word about important issues;Sharing my story or experiences to help others understand,,,,,,,,,,,
Main606,Full Survey,1106101:50:00,"Jobs with low pay or no benefits;Mental health challenges (like anxiety, depression);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes)",York,Yes,No,,65 - 75,White;,Moderately Connected,No,,,,,,,,,,,,
Main607,Full Survey,1106104:11:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main608,Full Survey,1106104:13:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives",York,Yes,No,,45 - 64,White;,Moderately Connected,No,,,,,,,,,,,,
Main609,Full Survey,1106106:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,Maybe,,25 - 44,Prefer not to answer;,Not Connected,,,,,,,,,,,,,
Main610,Full Survey,1106132:20:00,"Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes)",Cumberland,Yes,No,,25 - 44,White;,Not Connected,No,,,,,,,,,,,,
Main611,Full Survey,1106170:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",Cumberland,Yes,,,,,,,,,,,,,,,,,,
Main612,Full Survey,1106179:34:00,Finding affordable healthcare;Impact of flooding and other extreme weather;Child care that is affordable and available;Caring for aging parents or relatives;Jobs with low pay or no benefits,York,Yes,Maybe,Berwick,More than 75,White;,Not Connected,No,,,,,,,,,,,,
Main613,Full Survey,1106193:31:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Child care that is affordable and available;Getting to work, school, or appointments (transportation)",Cumberland,No,Yes,Portland Hispanic culture,Under 18,Hispanic,Closely Connected,No,,,,,,,,,,,,
Main614,Full Survey,1106197:47:00,"Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Getting to work, school, or appointments (transportation)",York,Yes,Yes,I work for and have experiences within the community of domestic violence survivors who are constantly working against systems and cultures that invalidate and make them more unsafe,18 - 24,White;,Not Connected,No,,,,,,,,,,,,
Main615,Full Survey,1106200:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Feeling isolated or not connected to community",York,Yes,No,,45 - 64,White;,Not Connected,No,,,,,,,,,,,,
Main616,Full Survey,1106203:31:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community",York,Yes,,,,,,,,,,,,,,,,,,
Main617,Full Survey,1106222:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Child care that is affordable and available;Getting to work, school, or appointments (transportation)",Cumberland,Yes,No,,45 - 64,White;,Moderately Connected,No,,,,,,,,,,,,
Main618,Full Survey,1106222:40:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Child care that is affordable and available;Lack of stable jobs with career growth",York,No,,,,,,,,,,,,,,,,,,
